game_id,num_players,status,total_actions,num_matched,first_divergence_action_index,first_divergence_action_type,divergence_kind,drop_reason,first_error_msg
29820,4,perfect,464,464,,,,,
44230,4,perfect,773,773,,,,,
55461,5,dropped,0,0,,,,illegal_share_buy,
51645,4,dropped,0,0,,,,illegal_share_buy,
85254,4,perfect,399,399,,,,,
74998,4,dropped,0,0,,,,mh_out_of_turn,
56499,4,perfect,450,450,,,,,
27514,3,cleaning_error,0,0,,,,,"GameError: Blocking step Sell/Buy/Sell Shares cannot process action Type: LayTile, id: 156, entity: <Company: DH>, hex: [<Hex: F16, tile: F16>], tile: [<Tile: 57, hex: None>, rotation: [0]"
82618,4,perfect,864,864,,,,,
63411,4,perfect,453,453,,,,,
42607,4,perfect,461,461,,,,,
42622,4,perfect,407,407,,,,,
56985,5,perfect,877,877,,,,,
62992,6,dropped,0,0,,,,illegal_share_buy,
37774,4,perfect,797,797,,,,,
77669,5,perfect,360,360,,,,,
48199,4,perfect,889,889,,,,,
85657,5,dropped,0,0,,,,other,
70627,4,perfect,822,822,,,,,
50365,4,perfect,456,456,,,,,
27140,5,perfect,809,809,,,,,
41530,4,perfect,558,558,,,,,
82580,4,perfect,953,953,,,,,
76555,3,perfect,703,703,,,,,
72888,4,perfect,761,761,,,,,
54239,4,perfect,352,352,,,,,
41334,5,perfect,898,898,,,,,
61812,4,perfect,645,645,,,,,
58869,5,dropped,0,0,,,,illegal_share_buy,
76763,4,perfect,780,780,,,,,
81328,6,perfect,1035,1035,,,,,
35100,3,perfect,543,543,,,,,
76998,4,perfect,1007,1007,,,,,
28191,3,perfect,379,379,,,,,
57100,4,dropped,0,0,,,,illegal_share_buy,
31050,3,dropped,0,0,,,,cross_player_buy_company,
79363,4,perfect,784,784,,,,,
81093,4,perfect,382,382,,,,,
80251,4,perfect,839,839,,,,,
56575,4,perfect,438,438,,,,,
42711,4,perfect,850,850,,,,,
38416,4,perfect,773,773,,,,,
59146,5,perfect,855,855,,,,,
39315,4,perfect,339,339,,,,,
42672,4,dropped,0,0,,,,illegal_share_buy,
75780,5,perfect,974,974,,,,,
30776,4,perfect,390,390,,,,,
37371,4,perfect,477,477,,,,,
82605,4,perfect,897,897,,,,,
36916,4,dropped,0,0,,,,mh_out_of_turn,
58214,4,perfect,377,377,,,,,
75055,4,perfect,904,904,,,,,
54606,3,dropped,0,0,,,,cross_player_buy_company,
37895,5,perfect,712,712,,,,,
79029,5,perfect,428,428,,,,,
75736,5,perfect,354,354,,,,,
84191,4,dropped,0,0,,,,cross_player_buy_company,
65336,4,dropped,0,0,,,,illegal_share_buy,
38226,4,perfect,360,360,,,,,
26862,5,perfect,922,922,,,,,
42592,4,perfect,490,490,,,,,
53245,2,dropped,0,0,,,,cross_president_buy_train,
52458,4,dropped,0,0,,,,illegal_share_buy,
64634,4,dropped,0,0,,,,illegal_share_buy,
47834,4,perfect,435,435,,,,,
77527,6,dropped,0,0,,,,illegal_share_buy,
70686,4,perfect,338,338,,,,,
48362,3,perfect,797,797,,,,,
70741,4,perfect,732,732,,,,,
26861,4,perfect,797,797,,,,,
66502,5,perfect,994,994,,,,,
82875,3,perfect,711,711,,,,,
65696,6,perfect,795,795,,,,,
70714,4,perfect,855,855,,,,,
42281,5,dropped,0,0,,,,illegal_share_buy,
53592,4,perfect,471,471,,,,,
55383,4,perfect,450,450,,,,,
70648,4,perfect,774,774,,,,,
29009,5,perfect,402,402,,,,,
66130,4,perfect,706,706,,,,,
82632,4,perfect,856,856,,,,,
82667,4,perfect,410,410,,,,,
58443,5,perfect,885,885,,,,,
55505,5,perfect,459,459,,,,,
30636,4,perfect,275,275,,,,,
46231,5,perfect,859,859,,,,,
41788,4,perfect,759,759,,,,,
54483,6,perfect,460,460,,,,,
55143,4,perfect,567,567,,,,,
42632,4,perfect,396,396,,,,,
85604,2,perfect,674,674,,,,,
42614,4,perfect,989,989,,,,,
75361,6,perfect,847,847,,,,,
59778,2,dropped,0,0,,,,illegal_share_buy,
57825,6,perfect,979,979,,,,,
73014,4,perfect,805,805,,,,,
70689,4,perfect,497,497,,,,,
42558,3,perfect,827,827,,,,,
45900,5,dropped,0,0,,,,illegal_share_buy,
